City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Rikitea,PF,-23.1203,-134.9692,81.21,79,37,8.99,light rain
1,Dingle,PH,10.9995,122.6711,84.9,65,41,15.64,scattered clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,24,3.0,few clouds
3,Punta Arenas,CL,-53.15,-70.9167,55.4,71,75,12.66,broken clouds
4,Okhotsk,RU,59.3833,143.3,-0.13,80,0,6.29,clear sky
5,Vaini,TO,-21.2,-175.2,80.6,54,20,14.97,few clouds
6,San Cristobal,VE,7.7669,-72.225,77.0,78,40,4.61,scattered clouds
7,Upernavik,GL,72.7868,-56.1549,0.73,85,100,7.23,overcast clouds
8,Ahipara,NZ,-35.1667,173.1667,67.57,58,48,7.05,scattered clouds
9,Plettenberg Bay,ZA,-34.0527,23.3716,58.93,76,86,4.07,overcast clouds
10,North Bend,US,43.4065,-124.2243,42.8,81,90,11.5,overcast clouds
11,Lavrentiya,RU,65.5833,-171.0,11.75,93,52,7.74,broken clouds
12,Ponta Do Sol,PT,32.6667,-17.1,59.0,67,40,9.22,scattered clouds
13,Hirara,JP,24.8,125.2833,75.2,78,40,6.91,scattered clouds
14,Gladstone,AU,-23.85,151.25,86.0,48,3,11.5,light rain
15,Touros,BR,-5.1989,-35.4608,77.0,88,0,4.61,clear sky
16,Kodiak,US,57.79,-152.4072,41.0,60,1,4.61,clear sky
17,Sao Filipe,CV,14.8961,-24.4956,68.31,78,56,14.67,broken clouds
18,Bluff,NZ,-46.6,168.3333,66.99,57,74,10.0,broken clouds
19,Mataura,NZ,-46.1927,168.8643,66.99,57,74,10.0,broken clouds
20,Talcahuano,CL,-36.7167,-73.1167,60.8,77,0,2.3,clear sky
21,Atuona,PF,-9.8,-139.0333,79.27,76,85,14.18,overcast clouds
22,Harper,LR,4.375,-7.7169,78.06,87,59,6.93,light rain
23,Nanortalik,GL,60.1432,-45.2371,25.61,96,100,9.44,overcast clouds
24,Pimentel,PE,-6.8367,-79.9342,72.0,87,100,1.01,overcast clouds
25,Zabol,AF,32.25,67.25,45.45,47,0,5.53,clear sky
26,Bairiki,KI,1.3292,172.9752,86.0,66,40,12.66,scattered clouds
27,Novyy Urgal,RU,51.0736,132.5642,27.21,95,100,1.79,light snow
28,Pevek,RU,69.7008,170.3133,-13.9,88,100,12.35,overcast clouds
29,Riyadh,SA,24.6877,46.7219,66.2,34,0,6.91,clear sky
30,Cape Town,ZA,-33.9258,18.4232,60.8,59,75,8.05,broken clouds
31,Uberlandia,BR,-18.9186,-48.2772,66.79,90,100,3.89,overcast clouds
32,Omsukchan,RU,62.5333,155.8,-9.2,80,0,3.15,clear sky
33,Yulara,AU,-25.2406,130.9889,86.0,28,0,8.05,clear sky
34,Salym,RU,60.0625,71.4789,7.65,95,100,7.09,light snow
35,Morondava,MG,-20.2833,44.2833,74.84,80,0,4.72,clear sky
36,Thinadhoo,MV,0.5333,72.9333,83.61,65,7,4.25,light rain
37,Busselton,AU,-33.65,115.3333,78.01,64,36,5.01,scattered clouds
38,Souillac,MU,-20.5167,57.5167,77.0,88,40,4.21,scattered clouds
39,Qaanaaq,GL,77.484,-69.3632,-6.61,65,79,6.24,broken clouds
40,Lakes Entrance,AU,-37.8811,147.981,66.99,62,74,1.01,broken clouds
41,Tanout,NE,14.9709,8.8879,74.71,15,0,10.51,clear sky
42,Plyussa,RU,58.4308,29.3654,5.83,95,64,3.29,broken clouds
43,Acari,PE,-15.4311,-74.6158,76.89,63,92,2.62,overcast clouds
44,Hermanus,ZA,-34.4187,19.2345,57.99,71,100,5.01,overcast clouds
45,Jacareacanga,BR,-6.2222,-57.7528,73.36,97,100,2.44,heavy intensity rain
46,Avera,US,33.194,-82.5271,50.0,49,1,3.44,clear sky
47,Torbay,CA,47.6666,-52.7314,25.0,74,75,2.3,broken clouds
48,Vostok,RU,46.4856,135.8833,32.14,96,2,10.09,clear sky
49,Pandan,PH,14.0453,124.1694,82.04,68,92,15.73,overcast clouds
50,Fort Nelson,CA,58.8053,-122.7002,17.6,67,75,3.44,light snow
51,Belmonte,BR,-15.8631,-38.8828,77.0,83,0,3.44,clear sky
52,Ikwiriri,TZ,-7.9562,38.9716,72.66,97,100,2.93,overcast clouds
53,Kutum,SD,14.2,24.6667,58.23,24,0,6.8,clear sky
54,Victoria,HK,22.2855,114.1577,69.01,80,78,3.0,broken clouds
55,Albany,US,42.6001,-73.9662,32.0,37,41,3.22,scattered clouds
56,Kapaa,US,22.0752,-159.319,73.99,78,75,19.57,moderate rain
57,Te Anau,NZ,-45.4167,167.7167,60.71,56,100,7.63,moderate rain
58,Jamestown,US,42.097,-79.2353,45.0,45,90,15.28,overcast clouds
59,Vardo,NO,70.3705,31.1107,23.27,84,100,11.92,overcast clouds
60,Kheralu,IN,23.8833,72.6167,75.79,43,0,5.77,clear sky
61,Ushuaia,AR,-54.8,-68.3,59.0,51,75,17.27,broken clouds
62,Ambilobe,MG,-13.2,49.05,73.99,96,100,1.54,light rain
63,Hilo,US,19.7297,-155.09,71.6,83,90,5.75,heavy intensity rain
64,Tilichiki,RU,60.4667,166.1,-12.32,87,93,3.58,overcast clouds
65,Norman Wells,CA,65.282,-126.8329,-0.4,60,20,4.61,few clouds
66,Powell River,CA,49.8496,-124.5361,42.8,87,75,5.75,broken clouds
67,Thompson,CA,55.7435,-97.8558,21.2,68,1,4.61,clear sky
68,Guarda,PT,40.5373,-7.2658,44.01,86,0,5.01,clear sky
69,Buta,CD,2.7858,24.73,67.68,97,97,2.64,light rain
70,Avarua,CK,-21.2078,-159.775,80.6,78,75,11.5,moderate rain
71,Khatanga,RU,71.9667,102.5,-22.54,87,59,4.14,broken clouds
72,Severo-Kurilsk,RU,50.6789,156.125,23.86,91,100,18.77,overcast clouds
73,Necochea,AR,-38.5473,-58.7368,50.0,79,32,7.38,scattered clouds
74,Ambon,ID,-3.6954,128.1814,89.6,55,20,10.36,few clouds
75,Korla,CN,41.7597,86.1469,50.43,43,48,10.18,scattered clouds
76,Druzhba,UA,52.0428,33.9453,10.62,96,69,7.43,broken clouds
77,Jibuti,DJ,11.5,42.5,75.2,78,40,16.02,haze
78,Chuy,UY,-33.6971,-53.4616,67.05,87,100,4.74,overcast clouds
79,Leningradskiy,RU,69.3833,178.4167,-11.94,86,100,2.73,overcast clouds
80,Dikson,RU,73.5069,80.5464,-13.54,90,100,3.15,overcast clouds
81,Opuwo,NA,-18.0607,13.84,70.47,28,62,3.27,broken clouds
82,Nome,US,64.5011,-165.4064,26.6,93,75,13.8,broken clouds
83,Berlevag,NO,70.8578,29.0864,20.28,87,99,3.53,light snow
84,Ribeira Grande,PT,38.5167,-28.7,60.1,91,45,5.03,scattered clouds
85,Esperance,AU,-33.8667,121.9,71.6,64,90,10.36,overcast clouds
86,Kampene,CD,-3.6,26.6667,65.41,91,100,1.88,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,63.0,86,100,1.99,overcast clouds
88,Manta,EC,-0.95,-80.7333,75.2,94,90,9.22,moderate rain
89,Bathsheba,BB,13.2167,-59.5167,77.0,65,20,17.27,few clouds
90,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,7.29,scattered clouds
91,Mwinilunga,ZM,-11.7358,24.4293,61.56,98,100,4.36,light rain
92,Mar Del Plata,AR,-38.0023,-57.5575,61.0,63,40,12.66,scattered clouds
93,Sinnamary,GF,5.3833,-52.95,77.04,86,98,12.06,overcast clouds
94,Yeppoon,AU,-23.1333,150.7333,89.6,40,14,4.61,few clouds
95,Kilindoni,TZ,-7.9139,39.6668,80.76,80,100,13.49,moderate rain
96,Hobart,AU,-42.8794,147.3294,68.0,48,75,11.5,broken clouds
97,Warrnambool,AU,-38.3833,142.4833,64.0,70,61,10.51,broken clouds
98,Huejuquilla El Alto,MX,22.6,-103.8667,56.97,49,0,2.75,clear sky
99,Shellbrook,CA,53.2168,-106.4011,30.2,64,20,12.66,few clouds
100,Longyearbyen,SJ,78.2186,15.6401,23.0,50,75,11.5,broken clouds
101,Qui Nhon,VN,13.7667,109.2333,78.64,76,46,9.4,scattered clouds
102,Provideniya,RU,64.3833,-173.3,19.4,86,90,13.42,heavy snow
103,Faanui,PF,-16.4833,-151.75,83.34,73,100,17.43,overcast clouds
104,Bethel,US,41.3712,-73.414,33.01,59,1,4.14,clear sky
105,Neiafu,TO,-18.65,-173.9833,82.4,65,40,6.91,scattered clouds
106,Tasiilaq,GL,65.6145,-37.6368,17.6,86,75,24.16,snow
107,San Policarpo,PH,12.1791,125.5072,81.36,71,66,15.03,broken clouds
108,Meulaboh,ID,4.1363,96.1285,83.26,66,4,2.66,clear sky
109,Uribia,CO,11.7139,-72.266,78.35,73,95,17.45,overcast clouds
110,Shakhtinsk,KZ,49.71,72.5872,-11.2,77,0,6.71,clear sky
111,Saskylakh,RU,71.9167,114.0833,-23.44,84,66,4.7,broken clouds
112,Mahebourg,MU,-20.4081,57.7,77.0,88,40,7.11,scattered clouds
113,Cabo San Lucas,MX,22.8909,-109.9124,71.6,46,20,3.44,few clouds
114,Cidreira,BR,-30.1811,-50.2056,73.35,83,19,7.83,few clouds
115,Carutapera,BR,-1.195,-46.02,76.32,94,100,8.34,overcast clouds
116,Vila Velha,BR,-20.3297,-40.2925,73.4,94,90,5.75,overcast clouds
117,Namatanai,PG,-3.6667,152.4333,84.81,66,98,7.18,overcast clouds
118,Fort Saint James,CA,54.4333,-124.25,28.24,96,100,1.36,overcast clouds
119,Mazara Del Vallo,IT,37.6641,12.588,48.0,88,23,8.57,few clouds
120,Castro,BR,-24.7911,-50.0119,61.0,93,18,2.57,few clouds
121,Kruisfontein,ZA,-34.0033,24.7314,57.99,89,73,3.47,broken clouds
122,Rosarito,MX,32.3333,-117.0333,59.0,82,75,9.22,broken clouds
123,Ixtapa,MX,20.7,-105.2,73.99,88,1,5.75,clear sky
124,Berdigestyakh,RU,62.0989,126.6992,8.74,94,96,6.11,overcast clouds
125,Odweyne,SO,9.4092,45.064,58.19,88,1,5.68,clear sky
126,Rocha,UY,-34.4833,-54.3333,63.64,91,0,2.1,clear sky
127,Carnarvon,AU,-24.8667,113.6333,82.98,64,97,11.12,overcast clouds
128,Huarmey,PE,-10.0681,-78.1522,72.9,76,93,4.52,overcast clouds
129,Saint-Leu,RE,-21.15,55.2833,77.0,61,0,8.05,clear sky
130,Bredasdorp,ZA,-34.5322,20.0403,55.4,76,100,8.05,overcast clouds
131,Codrington,AU,-38.2667,141.9667,62.47,58,20,10.2,few clouds
132,Cayenne,GF,4.9333,-52.3333,80.6,83,75,8.05,broken clouds
133,Cleburne,US,32.3476,-97.3867,62.01,51,90,8.05,overcast clouds
134,Mackay,AU,-21.15,149.2,87.01,61,19,9.22,few clouds
135,Muros,ES,42.7762,-9.0603,44.01,78,1,1.99,clear sky
136,Airai,TL,-8.9266,125.4092,73.45,77,100,2.71,overcast clouds
137,Singaraja,ID,-8.112,115.0882,84.31,67,72,2.06,broken clouds
138,Tambura,SS,5.6,27.4667,70.95,61,0,5.86,clear sky
139,Hithadhoo,MV,-0.6,73.0833,83.71,64,92,4.76,overcast clouds
140,Zhuhai,CN,22.2769,113.5678,71.01,78,20,13.8,few clouds
141,Portland,US,45.5234,-122.6762,45.0,76,75,13.8,broken clouds
142,Itoman,JP,26.1247,127.6694,73.4,73,20,3.44,few clouds
143,Baruun-Urt,MN,46.6806,113.2792,25.48,89,0,9.24,clear sky
144,Svetlogorsk,BY,52.6333,29.7333,15.66,96,20,6.02,few clouds
145,Tingo Maria,PE,-9.2895,-76.0088,70.14,84,100,2.24,overcast clouds
146,Jennings,US,38.7192,-90.2604,59.0,41,1,6.91,clear sky
147,Cherskiy,RU,68.75,161.3,-10.01,88,100,11.72,overcast clouds
148,Kushiro,JP,42.975,144.3747,33.8,69,20,9.22,few clouds
149,Uvalde,US,29.3669,-99.767,66.2,63,75,9.22,broken clouds
150,Waipawa,NZ,-41.4122,175.5153,69.8,49,87,18.41,overcast clouds
151,Pozo Colorado,PY,-23.4923,-58.7972,74.46,48,0,5.12,clear sky
152,Kaitangata,NZ,-46.2817,169.8464,64.0,70,33,11.01,scattered clouds
153,Alugan,PH,12.2188,125.4808,81.21,71,70,14.34,broken clouds
154,Kahului,US,20.8947,-156.47,71.6,83,90,18.41,heavy intensity rain
155,New Norfolk,AU,-42.7826,147.0587,68.0,44,100,7.0,overcast clouds
156,Cherlak,RU,54.155,74.8055,6.49,93,60,14.9,broken clouds
157,Komsomolskiy,UZ,40.4272,71.7189,42.8,70,100,4.61,mist
158,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,75,16.11,broken clouds
159,Rapid Valley,US,44.0625,-103.1463,55.99,40,1,4.61,clear sky
160,Flinders,AU,-34.5833,150.8552,80.01,65,16,8.99,few clouds
161,Abu Kamal,SY,34.4506,40.9171,53.22,73,16,6.71,few clouds
162,Saldanha,ZA,-33.0117,17.9442,51.8,71,100,2.3,overcast clouds
163,Oranjemund,NA,-28.55,16.4333,59.88,72,13,4.07,few clouds
164,Orangeburg,US,33.4918,-80.8557,48.2,56,1,4.5,clear sky
165,Seddon,AU,-37.8068,144.8916,69.01,68,75,13.8,broken clouds
166,Mackenzie,CA,55.2999,-123.1698,32.0,59,1,2.3,clear sky
167,East London,ZA,-33.0153,27.9116,66.81,65,100,5.68,overcast clouds
168,Hay River,CA,60.8156,-115.7999,-0.4,65,15,2.3,few clouds
169,Guzelyurt,TR,38.2772,34.3719,26.6,68,0,11.5,clear sky
170,Saint-Georges,GD,12.0564,-61.7485,77.0,83,20,5.75,few clouds
171,Xining,CN,36.6167,101.7667,41.83,56,27,1.03,scattered clouds
172,College,US,64.8569,-147.8028,32.0,68,75,1.3,broken clouds
173,Hasaki,JP,35.7333,140.8333,54.0,66,75,10.36,broken clouds
174,Aragarcas,BR,-15.8975,-52.2508,69.22,95,100,1.12,overcast clouds
175,Saint-Francois,FR,46.4154,3.9054,30.99,93,0,1.14,mist
176,Vila Do Maio,CV,15.1333,-23.2167,66.2,72,75,25.32,broken clouds
177,Sand Springs,US,36.1398,-96.1089,62.6,31,100,9.22,overcast clouds
178,Saint-Joseph,RE,-21.3667,55.6167,77.0,61,0,9.22,clear sky
179,Maralal,KE,1.0968,36.698,58.71,63,72,4.81,broken clouds
180,Padang,ID,-0.9492,100.3543,86.0,74,20,1.14,few clouds
181,Shymkent,KZ,42.3,69.6,39.2,81,99,4.47,mist
182,Bubaque,GW,11.2833,-15.8333,77.85,63,0,11.41,clear sky
183,Dunedin,NZ,-45.8742,170.5036,61.0,73,37,15.99,scattered clouds
184,Sinawilan,PH,6.7544,125.2464,86.0,66,75,9.22,broken clouds
185,Geraldton,AU,-28.7667,114.6,96.8,26,93,19.57,overcast clouds
186,Ust-Kuyga,RU,70.0167,135.6,-12.01,86,100,5.41,overcast clouds
187,Mananjary,MG,-21.2167,48.3333,73.31,88,15,6.51,few clouds
188,Urumqi,CN,43.801,87.6005,26.6,93,41,2.24,mist
189,Klyuchi,RU,52.2667,79.1667,9.28,93,6,12.01,clear sky
190,Vao,NC,-22.6667,167.4833,75.78,68,46,11.41,scattered clouds
191,Akyab,MM,20.15,92.9,78.3,62,1,3.85,clear sky
192,Lekoni,GA,-1.5843,14.2591,75.54,74,36,3.85,scattered clouds
193,Guerrero Negro,MX,27.9769,-114.0611,58.05,74,100,16.53,overcast clouds
194,Umarkot,PK,25.3616,69.7362,71.44,64,0,7.2,clear sky
195,Yellowknife,CA,62.456,-114.3525,-5.01,71,40,3.44,scattered clouds
196,Bambanglipuro,ID,-7.95,110.2833,83.05,69,97,2.42,overcast clouds
197,Chokurdakh,RU,70.6333,147.9167,-18.29,85,100,18.99,overcast clouds
198,San Quintin,MX,30.4833,-115.95,56.19,75,100,14.23,overcast clouds
199,Hammerfest,NO,70.6634,23.6821,17.6,49,0,2.3,clear sky
200,Butaritari,KI,3.0707,172.7902,80.58,80,40,11.83,light rain
201,Piterka,RU,50.6803,47.4454,23.47,98,100,5.68,light snow
202,Bilibino,RU,68.0546,166.4372,-19.7,80,100,4.34,overcast clouds
203,Kirksville,US,40.1948,-92.5833,55.99,54,1,8.05,clear sky
204,Alofi,NU,-19.0595,-169.9187,84.2,61,40,12.66,scattered clouds
205,Beringovskiy,RU,63.05,179.3167,-13.13,86,92,3.8,overcast clouds
206,Ranau,MY,5.9538,116.6641,86.0,79,20,5.75,few clouds
207,Tiksi,RU,71.6872,128.8694,-17.75,87,100,8.72,overcast clouds
208,Prabumulih,ID,-3.45,104.25,81.01,79,100,4.5,overcast clouds
209,Itarema,BR,-2.9248,-39.9167,78.01,87,12,8.12,few clouds
210,Patos,BR,-7.0244,-37.28,76.39,69,36,5.19,scattered clouds
211,Saint Anthony,US,45.0205,-93.218,48.2,43,1,4.61,clear sky
212,Chipinge,ZW,-20.1883,32.6236,59.32,93,0,2.37,clear sky
213,Hambantota,LK,6.1241,81.1185,78.8,94,20,5.75,few clouds
214,Fuerte,PH,17.5381,120.3644,83.73,51,0,4.97,clear sky
215,Saint George,US,37.1041,-113.5841,68.0,10,1,9.22,clear sky
216,Santa Luzia,BR,-19.7697,-43.8514,69.8,78,75,4.61,light rain
217,Bislig,PH,8.2167,126.2833,83.19,70,100,7.23,heavy intensity rain
218,Honggang,CN,46.4667,124.8667,35.8,58,0,26.91,clear sky
219,Tolga,DZ,34.7222,5.3785,60.8,63,40,5.75,scattered clouds
220,Nikolskoye,RU,59.7035,30.7861,3.0,85,0,3.36,clear sky
221,Chongwe,ZM,-15.3292,28.682,59.72,95,55,0.43,broken clouds
222,Znamenskoye,RU,57.1281,73.8282,11.66,95,100,11.59,overcast clouds
223,Lorengau,PG,-2.0226,147.2712,85.39,68,100,8.48,overcast clouds
224,Santa Lucia,ES,27.9117,-15.5407,62.01,82,75,16.11,broken clouds
225,Malpe,IN,13.35,74.7167,78.8,89,20,4.47,mist
226,Batagay-Alyta,RU,67.8006,130.4114,-9.42,80,100,2.75,overcast clouds
